"","Algo","MSE","MSE_10_8","Relative_MSE","Rsq","RE","MAE"
"1","I(P(Y>0)>=0.5) * (S1: SL.ranger_All + S2: SL.rf.caret1_All)",219133288.852284,2.19133288852284,0.975900621645351,0.143188572627581,1.17338787866439,5943.52227396076
"2","S1: SL.ranger_All + S2: SL.rf.caret1_All",219149074.022077,2.19149074022077,0.975970920216116,0.143126852594389,1.17288210130039,6003.82550558591
"3","I(P(Y>0)>=0.25) * (S1: SL.ranger_All + S2: SL.rf.caret1_All)",219150770.914547,2.19150770914547,0.975978477253319,0.143120217742756,1.17282773065936,5997.4947896914
"4","Single: SL.rf.caret1_All",219217386.918414,2.19217386918414,0.976275148744568,0.142859749086175,1.17069326728148,6048.31773658335
"5","S1: SL.xgboost_All + S2: SL.rf.caret1_All",219356812.92207,2.1935681292207,0.976896076419928,0.142314593241389,1.166225876843,6041.18368549442
"6","I(P(Y>0)>=0.25) * (S1: SL.xgboost_All + S2: SL.rf.caret1_All)",219367121.13825,2.1936712113825,0.976941983614726,0.14227428810352,1.16589558819388,6033.94018187287
"7","I(P(Y>0)>=0.5) * (S1: SL.xgboost_All + S2: SL.rf.caret1_All)",219406666.116367,2.19406666116367,0.977118095463957,0.142119667190724,1.16462851567871,5987.13176621756
"8","S1: SL.glm_All + S2: SL.rf.caret1_All",219501663.345881,2.19501663345881,0.977541161515774,0.141748227907163,1.16158468092995,6039.24956830422
"9","I(P(Y>0)>=0.25) * (S1: SL.glm_All + S2: SL.rf.caret1_All)",219506951.030296,2.19506951030296,0.977564709989561,0.141727553054632,1.16141525664623,6034.83888729567
"10","S1: SL.glmnet_All + S2: SL.rf.caret1_All",219530123.991878,2.19530123991878,0.977667909771444,0.141636946746511,1.16067276482773,6038.68187745061
"11","I(P(Y>0)>=0.25) * (S1: SL.glmnet_All + S2: SL.rf.caret1_All)",219535614.74437,2.1953561474437,0.977692362600124,0.141615477897553,1.16049683397882,6034.72720801065
"12","I(P(Y>0)>=0.5) * (S1: SL.glm_All + S2: SL.rf.caret1_All)",219545420.104613,2.19545420104613,0.977736030347763,0.141577138927012,1.16018265748772,5997.13404336987
"13","I(P(Y>0)>=0.5) * (S1: SL.glmnet_All + S2: SL.rf.caret1_All)",219579573.783878,2.19579573783878,0.977888132280793,0.141443597999324,1.15908832919756,5997.92121053909
"14","One-stage Super Learner",223809972.638912,2.23809972638912,0.996728030563972,0.124902733303136,1.0235408495281,6075.64220690886
"15","S1: SL.ipredbagg_All + S2: SL.rf.caret1_All",223920860.245993,2.23920860245993,0.99722186372483,0.124469162623853,1.01998786642143,6046.87926099964
"16","I(P(Y>0)>=0.25) * (S1: SL.ipredbagg_All + S2: SL.rf.caret1_All)",223920860.245993,2.23920860245993,0.99722186372483,0.124469162623853,1.01998786642143,6046.87926099964
"17","I(P(Y>0)>=0.5) * (S1: SL.ipredbagg_All + S2: SL.rf.caret1_All)",223936498.381104,2.23936498381104,0.997291507483002,0.124408017496446,1.01948680023981,6019.12194745811
"18","S1: SL.ksvm_All + S2: SL.rf.caret1_All",224000434.086037,2.24000434086037,0.997576242378902,0.124158028811976,1.0174382171247,6039.32920028583
"19","I(P(Y>0)>=0.25) * (S1: SL.ksvm_All + S2: SL.rf.caret1_All)",224017679.643824,2.24017679643824,0.997653044724418,0.124090598659943,1.0168856470306,6026.87719411731
"20","I(P(Y>0)>=0.5) * (S1: SL.ksvm_All + S2: SL.rf.caret1_All)",224041945.24657,2.2404194524657,0.997761110536459,0.123995720123531,1.01610814556851,6020.47772993127
"21","Two-stage Super Learner",224472869.440444,2.24472869440444,0.999680212791009,0.122310805998543,1.00230077411023,6117.36692872359
"22","Two-stage Super Leaner + Indicator",224544675.955662,2.24544675955662,1,0.122030042436236,1,6166.18254029985
"23","I(P(Y>0)>=0.5) * (S1: SL.ranger_All + S2: SL.glmnet_All)",225622925.738375,2.25622925738375,1.00480193875951,0.117814084467325,0.96545147502416,6038.85396408122
"24","S1: SL.ranger_All + S2: SL.glmnet_All",225636330.361423,2.25636330361423,1.00486163566834,0.117761672374815,0.965021973473036,6076.48364078165
"25","I(P(Y>0)>=0.25) * (S1: SL.ranger_All + S2: SL.glmnet_All)",225637248.495561,2.25637248495561,1.004865724539,0.117758082469214,0.964992555261512,6074.65107480872
"26","Single: SL.zip_All",225714534.113711,2.25714534113711,1.00520991269586,0.11745589560774,0.962516223569401,6106.0820256211
"27","Discrete two-stage Learner",225714534.113711,2.25714534113711,1.00520991269586,0.11745589560774,0.962516223569401,6106.0820256211
"28","Discrete two-stage Leaner + Indicator",225714534.113711,2.25714534113711,1.00520991269586,0.11745589560774,0.962516223569401,6106.0820256211
"29","S1: SL.xgboost_All + S2: SL.glmnet_All",225879105.195166,2.25879105195166,1.00594282288736,0.116812422478012,0.957243152144683,6120.54571667523
"30","I(P(Y>0)>=0.25) * (S1: SL.xgboost_All + S2: SL.glmnet_All)",225879474.324946,2.25879474324946,1.00594446679087,0.116810979180118,0.957231324746568,6117.47571306943
"31","I(P(Y>0)>=0.5) * (S1: SL.xgboost_All + S2: SL.glmnet_All)",225928912.759873,2.25928912759873,1.00616463872198,0.116617674839102,0.955647253011795,6089.73247093299
"32","S1: SL.glm_All + S2: SL.glmnet_All",226023351.549126,2.26023351549126,1.00658521778426,0.116248419057638,0.952621311415024,6121.25124663251
"33","I(P(Y>0)>=0.25) * (S1: SL.glm_All + S2: SL.glmnet_All)",226024359.836972,2.26024359836972,1.00658970815056,0.116244476650928,0.95258900456147,6119.4753602979
"34","S1: SL.glmnet_All + S2: SL.glmnet_All",226033207.902236,2.26033207902236,1.00662911262642,0.116209880704929,0.952305501046203,6119.12676371343
"35","I(P(Y>0)>=0.25) * (S1: SL.glmnet_All + S2: SL.glmnet_All)",226034175.137582,2.26034175137582,1.0066334201672,0.116206098813541,0.952274509568097,6117.43479299575
"36","I(P(Y>0)>=0.5) * (S1: SL.glm_All + S2: SL.glmnet_All)",226058935.320038,2.26058935320038,1.00674368856857,0.116109286469862,0.951481161129087,6103.10593120256
"37","I(P(Y>0)>=0.5) * (S1: SL.glmnet_All + S2: SL.glmnet_All)",226069935.867632,2.26069935867632,1.00679267903137,0.116066274315318,0.951128689281295,6101.67756979547
"38","Single: SL.lm_All",226378306.324737,2.26378306324737,1.00816599352121,0.114860545450956,0.941248098893137,6171.20241966818
"39","Single: SL.glmnet_All",226389301.983897,2.26389301983897,1.00821496221357,0.114817552410196,0.940895783677132,6170.35492689744
"40","S1: SL.ranger_All + S2: SL.gammaLogGLM_All",226493575.080855,2.26493575080855,1.00867933793976,0.114409844473584,0.937554738074976,6118.27079011995
"41","I(P(Y>0)>=0.5) * (S1: SL.ranger_All + S2: SL.gammaLogGLM_All)",226495237.031002,2.26495237031002,1.00868673936284,0.114403346246476,0.937501487031399,6075.7865406815
"42","I(P(Y>0)>=0.25) * (S1: SL.ranger_All + S2: SL.gammaLogGLM_All)",226496036.869653,2.26496036869653,1.00869030140967,0.114400218876372,0.937475859161068,6114.17237565349
"43","S1: SL.xgboost_All + S2: SL.gammaLogGLM_All",226638488.596331,2.26638488596331,1.00932470401161,0.113843232450867,0.932911520622906,6152.97221438783
"44","I(P(Y>0)>=0.25) * (S1: SL.xgboost_All + S2: SL.gammaLogGLM_All)",226641373.073238,2.26641373073238,1.00933754990473,0.113831954142635,0.93281909823243,6148.20451912746
"45","I(P(Y>0)>=0.5) * (S1: SL.xgboost_All + S2: SL.gammaLogGLM_All)",226695923.963864,2.26695923963864,1.00958048993612,0.11361866009358,0.931071216769831,6115.30880897751
"46","I(P(Y>0)>=0.5) * (S1: SL.ranger_All + S2: SL.gammaIdentityGLM_All)",226818605.068261,2.26818605068261,1.01012684492706,0.113138976825372,0.927140354675282,6047.89650030609
"47","S1: SL.glm_All + S2: SL.gammaLogGLM_All",226821501.085428,2.26821501085428,1.01013974221422,0.113127653394708,0.927047562519862,6154.41432593375
"48","Single: SL.zinb_All",226825615.823519,2.26825615823519,1.0101580670223,0.11311156476374,0.926915720961446,6154.62914115472
"49","I(P(Y>0)>=0.25) * (S1: SL.glm_All + S2: SL.gammaLogGLM_All)",226826235.52311,2.2682623552311,1.01016082682762,0.113109141737581,0.926895864980821,6151.77918385434
"50","S1: SL.ranger_All + S2: SL.gammaIdentityGLM_All",226828058.179451,2.26828058179451,1.01016894394878,0.113102015149059,0.926837464701842,6086.54853164337
"51","I(P(Y>0)>=0.25) * (S1: SL.ranger_All + S2: SL.gammaIdentityGLM_All)",226829469.65676,2.2682946965676,1.01017522990191,0.113096496271056,0.926792239133669,6083.72085239137
"52","S1: SL.glmnet_All + S2: SL.gammaLogGLM_All",226835960.823506,2.26835960823506,1.01020413803219,0.113071115801143,0.926584253711341,6153.15678071353
"53","I(P(Y>0)>=0.25) * (S1: SL.glmnet_All + S2: SL.gammaLogGLM_All)",226840788.460806,2.26840788460806,1.01022563770605,0.113052239733395,0.926429569935351,6150.84454402381
"54","I(P(Y>0)>=0.5) * (S1: SL.glm_All + S2: SL.gammaLogGLM_All)",226861543.763334,2.26861543763334,1.01031807054793,0.11297108647513,0.925764543056355,6126.84983205066
"55","I(P(Y>0)>=0.5) * (S1: SL.glmnet_All + S2: SL.gammaLogGLM_All)",226876886.664268,2.26876886664268,1.01038639949346,0.112911095713719,0.925272936561648,6126.3110757382
"56","S1: SL.ranger_All + S2: SL.wangZhou_All",226878655.421102,2.26878655421102,1.0103942765755,0.112904179872334,0.925216263292946,6112.33757963687
"57","I(P(Y>0)>=0.5) * (S1: SL.ranger_All + S2: SL.wangZhou_All)",226880216.018844,2.26880216018844,1.01040122663004,0.112898077933253,0.925166259712192,6065.74252985543
"58","I(P(Y>0)>=0.25) * (S1: SL.ranger_All + S2: SL.wangZhou_All)",226881308.839855,2.26881308839855,1.01040609346113,0.112893805001763,0.925131244306115,6107.44428133484
"59","S1: SL.xgboost_All + S2: SL.wangZhou_All",226995307.517731,2.26995307517731,1.01091378164118,0.112448070031871,0.92147857844619,6146.47931912833
"60","I(P(Y>0)>=0.25) * (S1: SL.xgboost_All + S2: SL.wangZhou_All)",226998288.218759,2.26998288218759,1.01092705606425,0.112436415487207,0.921383072909755,6140.86135917536
"61","S1: SL.xgboost_All + S2: SL.gammaIdentityGLM_All",227046407.916506,2.27046407916506,1.01114135505639,0.112248267410172,0.919841255228803,6128.39718067642
"62","I(P(Y>0)>=0.25) * (S1: SL.xgboost_All + S2: SL.gammaIdentityGLM_All)",227048342.608589,2.27048342608589,1.01114997112388,0.112240702761762,0.919779265178987,6124.7038724077
"63","I(P(Y>0)>=0.5) * (S1: SL.xgboost_All + S2: SL.wangZhou_All)",227052485.977211,2.27052485977211,1.01116842343679,0.112224502185383,0.919646506261138,6104.4411541505
"64","I(P(Y>0)>=0.5) * (S1: SL.xgboost_All + S2: SL.gammaIdentityGLM_All)",227092635.225434,2.27092635225434,1.01134722637679,0.112067518575738,0.91836007214614,6095.0398233874
"65","S1: SL.glm_All + S2: SL.wangZhou_All",227185853.632758,2.27185853632758,1.01176237052095,0.111703034489112,0.915373233173128,6147.88321610423
"66","I(P(Y>0)>=0.25) * (S1: SL.glm_All + S2: SL.wangZhou_All)",227191313.466271,2.27191313466271,1.01178668565329,0.1116816865334,0.915198293008515,6144.64017037309
"67","S1: SL.glmnet_All + S2: SL.wangZhou_All",227201974.896836,2.27201974896836,1.01183416587307,0.111640000326853,0.914856686911236,6146.71810303119
"68","S1: SL.glm_All + S2: SL.gammaIdentityGLM_All",227204294.088738,2.27204294088738,1.01184449429387,0.111630932283681,0.914782376987295,6129.15973845795
"69","I(P(Y>0)>=0.25) * (S1: SL.glm_All + S2: SL.gammaIdentityGLM_All)",227206402.437036,2.27206402437036,1.0118538837318,0.111622688639258,0.91471482276656,6127.72608648838
"70","I(P(Y>0)>=0.25) * (S1: SL.glmnet_All + S2: SL.wangZhou_All)",227207567.936541,2.27207567936541,1.01185907423343,0.111618131534769,0.914677478647049,6143.85046389678
"71","S1: SL.glmnet_All + S2: SL.gammaIdentityGLM_All",227212619.836264,2.27212619836264,1.01188157265029,0.111598378600672,0.914515609211439,6127.03911019757
"72","I(P(Y>0)>=0.25) * (S1: SL.glmnet_All + S2: SL.gammaIdentityGLM_All)",227214768.364308,2.27214768364308,1.01189114102698,0.111589977853393,0.9144467675794,6125.84827004208
"73","I(P(Y>0)>=0.5) * (S1: SL.glm_All + S2: SL.wangZhou_All)",227227561.293134,2.27227561293134,1.01194811378205,0.11153995748604,0.914036865506477,6116.09461655717
"74","I(P(Y>0)>=0.5) * (S1: SL.glm_All + S2: SL.gammaIdentityGLM_All)",227235276.613813,2.27235276613813,1.01198247362891,0.11150979057275,0.913789656600476,6106.48211304987
"75","I(P(Y>0)>=0.5) * (S1: SL.glmnet_All + S2: SL.gammaIdentityGLM_All)",227244394.107012,2.27244394107012,1.01202307799043,0.111474141163193,0.913497520263841,6105.06226860127
"76","I(P(Y>0)>=0.5) * (S1: SL.glmnet_All + S2: SL.wangZhou_All)",227244756.645178,2.27244756645178,1.01202469253847,0.11147272363852,0.913485904069627,6115.70839347908
"77","S1: SL.ipredbagg_All + S2: SL.gammaLogGLM_All",228127258.614705,2.28127258614705,1.0159548768805,0.108022139858532,0.885209393539107,6067.55060353271
"78","I(P(Y>0)>=0.25) * (S1: SL.ipredbagg_All + S2: SL.gammaLogGLM_All)",228127258.614705,2.28127258614705,1.0159548768805,0.108022139858532,0.885209393539107,6067.55060353271
"79","I(P(Y>0)>=0.5) * (S1: SL.ipredbagg_All + S2: SL.gammaLogGLM_All)",228140960.383381,2.28140960383381,1.01601589711452,0.107968565926254,0.884770371055724,6050.01450009028
"80","S1: SL.ksvm_All + S2: SL.gammaLogGLM_All",228162498.217722,2.28162498217722,1.01611181492798,0.107884352967644,0.88408027084,6059.05480933022
"81","I(P(Y>0)>=0.25) * (S1: SL.ksvm_All + S2: SL.gammaLogGLM_All)",228171725.637652,2.28171725637652,1.01615290884344,0.107848273744434,0.883784612307967,6051.12792823109
"82","I(P(Y>0)>=0.5) * (S1: SL.ksvm_All + S2: SL.gammaLogGLM_All)",228194609.432197,2.28194609432197,1.01625482083243,0.107758798079779,0.883051385777284,6047.21138288681
"83","Single: SL.tobit_All",228276617.046234,2.28276617046234,1.01662003819369,0.107438148208615,0.880423755197446,5666.39932141381
"84","S1: SL.ipredbagg_All + S2: SL.wangZhou_All",228492712.634992,2.28492712634992,1.01758241054938,0.106593214192325,0.873499771566686,6066.19670280077
"85","I(P(Y>0)>=0.25) * (S1: SL.ipredbagg_All + S2: SL.wangZhou_All)",228492712.634992,2.28492712634992,1.01758241054938,0.106593214192325,0.873499771566686,6066.19670280077
"86","I(P(Y>0)>=0.5) * (S1: SL.ipredbagg_All + S2: SL.wangZhou_All)",228505892.180414,2.28505892180414,1.01764110508474,0.106541682153611,0.873077481795369,6045.31401257566
"87","S1: SL.ksvm_All + S2: SL.wangZhou_All",228540184.563146,2.28540184563146,1.01779382472766,0.106407598895196,0.87197870926577,6057.93595924567
"88","I(P(Y>0)>=0.25) * (S1: SL.ksvm_All + S2: SL.wangZhou_All)",228550246.174242,2.28550246174242,1.01783863367739,0.106368257983506,0.871656322164158,6048.39819095853
"89","I(P(Y>0)>=0.5) * (S1: SL.ksvm_All + S2: SL.wangZhou_All)",228575803.252133,2.28575803252133,1.01795245101811,0.106268329777699,0.870837440159272,6043.86770762211
"90","S1: SL.ipredbagg_All + S2: SL.glmnet_All",229086306.47088,2.2908630647088,1.02022595501714,0.104272261568147,0.854480253275598,6049.45106039426
"91","I(P(Y>0)>=0.25) * (S1: SL.ipredbagg_All + S2: SL.glmnet_All)",229086306.47088,2.2908630647088,1.02022595501714,0.104272261568147,0.854480253275598,6049.45106039426
"92","I(P(Y>0)>=0.5) * (S1: SL.ipredbagg_All + S2: SL.glmnet_All)",229093896.459143,2.29093896459143,1.02025975670151,0.104242584704758,0.854237060183169,6038.55043529751
"93","S1: SL.ksvm_All + S2: SL.glmnet_All",229155910.506088,2.29155910506088,1.0205359335767,0.10400010970537,0.852250049488535,6047.20213026338
"94","I(P(Y>0)>=0.25) * (S1: SL.ksvm_All + S2: SL.glmnet_All)",229160812.697844,2.29160812697844,1.0205577652756,0.103980942129612,0.852092976890874,6042.65155356851
"95","I(P(Y>0)>=0.5) * (S1: SL.ksvm_All + S2: SL.glmnet_All)",229187961.909019,2.29187961909019,1.02067867311303,0.103874788680718,0.851223080865476,6039.65557383385
"96","I(P(Y>0)>=0.5) * (S1: SL.ranger_All + S2: SL.xgboost_All)",229750339.273444,2.29750339273444,1.02318319637563,0.101675892498131,0.833203778907639,6278.91399542573
"97","Single: SL.tweedie_All",229765162.417221,2.29765162417221,1.02324921060516,0.101617933987836,0.832728826107994,6210.68137931529
"98","I(P(Y>0)>=0.25) * (S1: SL.ranger_All + S2: SL.xgboost_All)",229873266.665625,2.29873266665625,1.02373064819856,0.101195246244386,0.829265025432264,6329.80002492841
"99","S1: SL.ranger_All + S2: SL.xgboost_All",229873492.855565,2.29873492855565,1.02373165552567,0.101194361841442,0.829257778012484,6338.09150208961
"100","S1: SL.ipredbagg_All + S2: SL.gammaIdentityGLM_All",230192167.486475,2.30192167486475,1.02515085920776,0.0999483436449048,0.81904702849817,6059.46401810573
"101","I(P(Y>0)>=0.25) * (S1: SL.ipredbagg_All + S2: SL.gammaIdentityGLM_All)",230192167.486475,2.30192167486475,1.02515085920776,0.0999483436449048,0.81904702849817,6059.46401810573
"102","I(P(Y>0)>=0.5) * (S1: SL.ipredbagg_All + S2: SL.gammaIdentityGLM_All)",230200312.255401,2.30200312255401,1.02518713158381,0.0999164975884445,0.818786059511971,6045.51145991756
"103","S1: SL.ksvm_All + S2: SL.gammaIdentityGLM_All",230303821.733517,2.30303821733517,1.02564810656652,0.0995117754024378,0.815469481250367,6060.84718348975
"104","I(P(Y>0)>=0.25) * (S1: SL.ksvm_All + S2: SL.gammaIdentityGLM_All)",230310002.051859,2.30310002051859,1.02567563034688,0.0994876103501616,0.815271455815042,6054.93406452678
"105","I(P(Y>0)>=0.5) * (S1: SL.ksvm_All + S2: SL.gammaIdentityGLM_All)",230327098.481712,2.30327098481712,1.0257517685576,0.0994207632885314,0.814723663973823,6051.35208810129
"106","I(P(Y>0)>=0.5) * (S1: SL.glm_All + S2: SL.xgboost_All)",230600958.44019,2.3060095844019,1.02697139203481,0.0983499705160015,0.805948834832143,6326.34271557279
"107","I(P(Y>0)>=0.5) * (S1: SL.glmnet_All + S2: SL.xgboost_All)",230620361.146389,2.30620361146389,1.02705780114745,0.0982741059110368,0.805327146898171,6326.56732273347
"108","S1: SL.glm_All + S2: SL.xgboost_All",230677524.892167,2.30677524892167,1.02731237741623,0.098050595595145,0.80349554615929,6373.82982645753
"109","I(P(Y>0)>=0.25) * (S1: SL.glm_All + S2: SL.xgboost_All)",230684073.079216,2.30684073079216,1.02734153948396,0.0980249921757764,0.803285733732306,6366.9301734687
"110","S1: SL.glmnet_All + S2: SL.xgboost_All",230686118.260249,2.30686118260249,1.02735064760921,0.0980169955154385,0.803220203472886,6372.66529745384
"111","I(P(Y>0)>=0.25) * (S1: SL.glmnet_All + S2: SL.xgboost_All)",230694072.049767,2.30694072049767,1.02738606946673,0.0979858961886961,0.802965353715224,6366.39984829346
"112","S1: SL.xgboost_All + S2: SL.gilleskie_All",230946194.576514,2.30946194576514,1.02850888623214,0.0970000968008161,0.794887020149167,5572.99951310392
"113","S1: SL.ksvm_All + S2: SL.coxph_All",230946216.501232,2.30946216501232,1.02850898387292,0.0970000110751413,0.794886317652691,6197.63955211371
"114","I(P(Y>0)>=0.25) * (S1: SL.xgboost_All + S2: SL.gilleskie_All)",230948301.905299,2.30948301905299,1.02851827112972,0.0969918571426881,0.794819498594937,5570.2069482941
"115","I(P(Y>0)>=0.25) * (S1: SL.ksvm_All + S2: SL.coxph_All)",230953025.333707,2.30953025333707,1.02853930671378,0.0969733885318388,0.79466815380737,6193.10340309882
"116","S1: SL.ipredbagg_All + S2: SL.coxph_All",230961317.065314,2.30961317065314,1.02857623358177,0.0969409678511162,0.794402475945793,6207.68290567146
"117","I(P(Y>0)>=0.25) * (S1: SL.ipredbagg_All + S2: SL.coxph_All)",230961317.065314,2.30961317065314,1.02857623358177,0.0969409678511162,0.794402475945793,6207.68290567146
"118","S1: SL.ranger_All + S2: SL.gilleskie_All",230966641.447021,2.30966641447021,1.02859994548536,0.0969201495121318,0.794231875833159,5545.71668946555
"119","I(P(Y>0)>=0.25) * (S1: SL.ranger_All + S2: SL.gilleskie_All)",230968632.903117,2.30968632903117,1.02860881434893,0.0969123629163594,0.794168066990541,5543.23803904646
"120","I(P(Y>0)>=0.5) * (S1: SL.ksvm_All + S2: SL.coxph_All)",230969401.904786,2.30969401904786,1.02861223906459,0.0969093561188925,0.794143427177206,6190.78212461963
"121","I(P(Y>0)>=0.5) * (S1: SL.ipredbagg_All + S2: SL.coxph_All)",230974018.688485,2.30974018688485,1.02863279971106,0.0968913044889851,0.793995499424769,6197.73591494719
"122","I(P(Y>0)>=0.5) * (S1: SL.ranger_All + S2: SL.gilleskie_All)",230980499.163126,2.30980499163126,1.02866166022451,0.0968659658252136,0.793787856591368,5520.83665725576
"123","I(P(Y>0)>=0.5) * (S1: SL.xgboost_All + S2: SL.gilleskie_All)",231000166.979278,2.31000166979278,1.02874924999287,0.09678906464001,0.793157674189819,5553.66099675455
"124","S1: SL.glm_All + S2: SL.gilleskie_All",231097856.96875,2.3109785696875,1.02918430813466,0.0964070966617168,0.790027559910847,5570.47687773937
"125","I(P(Y>0)>=0.25) * (S1: SL.glm_All + S2: SL.gilleskie_All)",231100715.397268,2.31100715397268,1.02919703802241,0.0963959202027148,0.789935972144598,5568.89369423004
